"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16335","CT006.1 REALIZAR TRANSFERÊNCIA TED COM DADOS INVALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:54:32 GMT-03:00 2025","passed","Mon Feb 10 10:54:48 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Firefox","testathon.test.transferencia.TransferenciaTest","testTentarTransferirParaContaComDadosInvalidos"
"","3295","CT005.2 TENTATIVA DE CADASTRO COM DADOS INVÁLIDOS PÁGINA 2","TesteNG com Selenium Grid","Mon Feb 10 10:59:55 GMT-03:00 2025","passed","Mon Feb 10 10:59:59 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Firefox","testathon.test.cadastro.CadastroTest","testTentarCadastrarComDadosInvalidosSegundaPagina"
"","357","CT003.2 REALIZAR LOGIN COM SENHA EM BRANCO","TesteNG com Selenium Grid","Mon Feb 10 10:59:53 GMT-03:00 2025","passed","Mon Feb 10 10:59:53 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Firefox","testathon.test.login.LoginTest","testTentarFazerLoginComSenhaEmBranco"
"","39771","CT006 REALIZAR TRANSFERÊNCIA TED COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:53:02 GMT-03:00 2025","passed","Mon Feb 10 10:53:42 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Chrome","testathon.test.transferencia.TransferenciaTest","testDeveTransferirComSucesso"
"","7464","CT003 REALIZAR LOGIN COM DADOS VALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:48:58 GMT-03:00 2025","passed","Mon Feb 10 10:49:06 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Chrome","testathon.test.login.LoginTest","testDeveFazerLoginComDadosValidos"
"","28753","CT009.1 VERIFICAR ERRO AO TENTAR ALTERAR DADOS SOCIAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:51:11 GMT-03:00 2025","passed","Mon Feb 10 10:51:40 GMT-03:00 2025","testathon.test.perfil.PerfilDadosSociaisTest","Teste Chrome","testathon.test.perfil.PerfilDadosSociaisTest","testDeveVerificarErroAoTentarAtualizarDadosComSucesso"
"","1565","CT005.1 TENTATIVA DE CADASTRO COM DADOS INVÁLIDOS PÁGINA 1","TesteNG com Selenium Grid","Mon Feb 10 10:53:44 GMT-03:00 2025","passed","Mon Feb 10 10:53:45 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Chrome","testathon.test.cadastro.CadastroTest","testTentarCadastrarComDadosInvalidosPrimeiraPagina"
"","7537","CT003 REALIZAR LOGIN COM DADOS VALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:49:05 GMT-03:00 2025","passed","Mon Feb 10 10:49:13 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Firefox","testathon.test.login.LoginTest","testDeveFazerLoginComDadosValidos"
"","9154","CT005 VALIDAR CADASTRO DE CONTA COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:45:10 GMT-03:00 2025","passed","Mon Feb 10 10:45:19 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Chrome","testathon.test.cadastro.CadastroTest","testDeveCadastrarComSucesso"
"","42872","CT004 REALIZAR SAQUE COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:46:53 GMT-03:00 2025","failed","Mon Feb 10 10:47:36 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Firefox","testathon.test.saque.SaqueTest","testDeveFazerSaqueComSucesso"
"","27278","CT004.1 REALIZAR SAQUE COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:55:32 GMT-03:00 2025","passed","Mon Feb 10 10:56:00 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Firefox","testathon.test.saque.SaqueTest","testNaoDeveFazerSaqueComSenhaInvalida"
"","29528","CT008 TRANSFERIR POR PIX COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:52:29 GMT-03:00 2025","failed","Mon Feb 10 10:52:59 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Chrome","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComSucesso"
"","97416","CT001.1 ALTERAR SENHA DE ACESSO PARA A MESMA","TesteNG com Selenium Grid","Mon Feb 10 10:56:04 GMT-03:00 2025","broken","Mon Feb 10 10:57:41 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaAMesma"
"","22226","CT002 REALIZAR DEPOSITO COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:49:24 GMT-03:00 2025","failed","Mon Feb 10 10:49:47 GMT-03:00 2025","testathon.test.deposito.DepositoTest","Teste Firefox","testathon.test.deposito.DepositoTest","testDeveFazerDepositoComSucesso"
"","31168","CT003.3 REALIZAR LOGIN COM CPF EM BRANCO","TesteNG com Selenium Grid","Mon Feb 10 10:59:16 GMT-03:00 2025","broken","Mon Feb 10 10:59:47 GMT-03:00 2025","testathon.test.login.LoginTest","Teste Chrome","testathon.test.login.LoginTest","testTentarFazerLoginComCpfEmBranco"
